Serie,Temporada,Episodio,Titulo,Tipo,Data,Dia,Mes,Ano,Dia Semana,Genero,Data_dia,Feriado
The Crown,Temporada 2,Homem misterioso,,Série,2021-02-28,28,Fevereiro,2021,Domingo,Drama,2021-02-28,False
The Crown,Temporada 2,Paterfamilias,,Série,2021-02-28,28,Fevereiro,2021,Domingo,Drama,2021-02-28,False
Império Romano,Calígula,O Imperador Louco,Uma nova esperança,Série,2021-02-28,28,Fevereiro,2021,Domingo,Documentário,2021-02-28,False
Império Romano,Calígula,O Imperador Louco,Herdeiro por direito,Série,2021-02-28,28,Fevereiro,2021,Domingo,Documentário,2021-02-28,False
The Crown,Temporada 2,Cara Sra. Kennedy,,Série,2021-02-27,27,Fevereiro,2021,Sábado,Drama,2021-02-27,False
The Crown,Temporada 2,Matrimonium,,Série,2021-02-27,27,Fevereiro,2021,Sábado,Drama,2021-02-27,False
E a Vida Continua,,,,Filme,2021-02-25,25,Fevereiro,2021,Quinta-feira,Drama,2021-02-25,False
The Crown,Temporada 2,Vergangenheit,,Série,2021-02-21,21,Fevereiro,2021,Domingo,Drama,2021-02-21,False
The Crown,Temporada 2,Marionetes,,Série,2021-02-21,21,Fevereiro,2021,Domingo,Drama,2021-02-21,False
Os Dez Mandamentos - O Filme,,,,Filme,2021-02-21,21,Fevereiro,2021,Domingo,Drama,2021-02-21,False
Enola Holmes,,,,Filme,2021-02-21,21,Fevereiro,2021,Domingo,Ação,2021-02-21,False
The Crown,Temporada 2,Beryl,,Série,2021-02-21,21,Fevereiro,2021,Domingo,Drama,2021-02-21,False
The Crown,Temporada 2,Lisboa,,Série,2021-02-20,20,Fevereiro,2021,Sábado,Drama,2021-02-20,False
The Crown,Temporada 2,Uma companhia masculina,,Série,2021-02-20,20,Fevereiro,2021,Sábado,Drama,2021-02-20,False
100 Humanos,O que nos torna atraentes?,,,Série,2021-02-20,20,Fevereiro,2021,Sábado,Documentário,2021-02-20,False
The Crown,Temporada 2,Desventura,,Série,2021-02-14,14,Fevereiro,2021,Domingo,Drama,2021-02-14,False
The Crown,Temporada 1,Gloriana,,Série,2021-02-14,14,Fevereiro,2021,Domingo,Drama,2021-02-14,False
História,Direto ao Assunto,Temporada 1,Petróleo do Oriente Médio,Série,2021-02-14,14,Fevereiro,2021,Domingo,Documentário,2021-02-14,False
História,Direto ao Assunto,Temporada 1,Plásticos,Série,2021-02-13,13,Fevereiro,2021,Sábado,Documentário,2021-02-13,False
História,Direto ao Assunto,Temporada 1,Ascensão da China,Série,2021-02-13,13,Fevereiro,2021,Sábado,Documentário,2021-02-13,False
História,Direto ao Assunto,Temporada 1,Corrida espacial,Série,2021-02-13,13,Fevereiro,2021,Sábado,Documentário,2021-02-13,False
História,Direto ao Assunto,Temporada 1,Fast Food,Série,2021-02-13,13,Fevereiro,2021,Sábado,Documentário,2021-02-13,False
"Raul, o Início, o Fim e o Meio",,,,Filme,2021-02-13,13,Fevereiro,2021,Sábado,Documentário,2021-02-13,False
Explicando,Temporada 2,Inteligência animal,,Série,2021-02-13,13,Fevereiro,2021,Sábado,Documentário,2021-02-13,False
